"DirectedEdge[720, 5175]","DirectedEdge[5175, 720]","{19, 5}"
"DirectedEdge[6852, 6155]","DirectedEdge[6155, 6852]","{22, 1}"
"DirectedEdge[133, 130]","DirectedEdge[130, 133]","{25, 1}"
"DirectedEdge[6399, 927]","DirectedEdge[927, 6399]","{13, 2}"
"DirectedEdge[1548, 927]","DirectedEdge[927, 1548]","{6, 2}"
"DirectedEdge[2827, 21043]","DirectedEdge[21043, 2827]","{1, 2}"
"DirectedEdge[1012, 1734]","DirectedEdge[1734, 1012]","{6, 2}"
"DirectedEdge[950, 1380]","DirectedEdge[1380, 950]","{1, 5}"
"DirectedEdge[1841, 170]","DirectedEdge[170, 1841]","{40, 53}"
"DirectedEdge[720, 3667]","DirectedEdge[3667, 720]","{26, 1}"
"DirectedEdge[2519, 488]","DirectedEdge[488, 2519]","{58, 4}"
"DirectedEdge[7272, 488]","DirectedEdge[488, 7272]","{112, 3}"
"DirectedEdge[4916, 488]","DirectedEdge[488, 4916]","{12, 3}"
"DirectedEdge[8617, 488]","DirectedEdge[488, 8617]","{8, 6}"
"DirectedEdge[3194, 488]","DirectedEdge[488, 3194]","{71, 6}"
"DirectedEdge[1841, 488]","DirectedEdge[488, 1841]","{5, 10}"
"DirectedEdge[1734, 488]","DirectedEdge[488, 1734]","{9, 8}"
"DirectedEdge[2170, 488]","DirectedEdge[488, 2170]","{2, 7}"
"DirectedEdge[1734, 450]","DirectedEdge[450, 1734]","{11, 1}"
"DirectedEdge[1582, 1877]","DirectedEdge[1877, 1582]","{1, 8}"
"DirectedEdge[823, 927]","DirectedEdge[927, 823]","{28, 1}"
"DirectedEdge[815, 927]","DirectedEdge[927, 815]","{2, 1}"
"DirectedEdge[823, 1806]","DirectedEdge[1806, 823]","{10, 7}"
"DirectedEdge[3299, 729]","DirectedEdge[729, 3299]","{87, 7}"
"DirectedEdge[718, 1304]","DirectedEdge[1304, 718]","{13, 1}"
"DirectedEdge[18, 7846]","DirectedEdge[7846, 18]","{4, 8}"
"DirectedEdge[5157, 10089]","DirectedEdge[10089, 5157]","{1, 2}"
"DirectedEdge[488, 402]","DirectedEdge[402, 488]","{27, 2}"
"DirectedEdge[549, 1668]","DirectedEdge[1668, 549]","{1, 4}"
"DirectedEdge[5231, 982]","DirectedEdge[982, 5231]","{2, 5}"
"DirectedEdge[4548, 871]","DirectedEdge[871, 4548]","{2, 2}"
"DirectedEdge[8097, 1535]","DirectedEdge[1535, 8097]","{1, 16}"
"DirectedEdge[720, 4742]","DirectedEdge[4742, 720]","{11, 6}"
"DirectedEdge[3280, 7317]","DirectedEdge[7317, 3280]","{10, 2}"
"DirectedEdge[488, 7317]","DirectedEdge[7317, 488]","{1, 2}"
"DirectedEdge[1322, 982]","DirectedEdge[982, 1322]","{1, 2}"
"DirectedEdge[465, 982]","DirectedEdge[982, 465]","{7, 2}"
"DirectedEdge[407, 982]","DirectedEdge[982, 407]","{1, 3}"
"DirectedEdge[3041, 833]","DirectedEdge[833, 3041]","{5, 2}"
"DirectedEdge[1780, 833]","DirectedEdge[833, 1780]","{1, 2}"
"DirectedEdge[488, 6879]","DirectedEdge[6879, 488]","{1, 2}"
"DirectedEdge[488, 8056]","DirectedEdge[8056, 488]","{2, 15}"
"DirectedEdge[2097, 4764]","DirectedEdge[4764, 2097]","{21, 3}"
"DirectedEdge[2504, 5526]","DirectedEdge[5526, 2504]","{18, 2}"
"DirectedEdge[20795, 870]","DirectedEdge[870, 20795]","{1, 1}"
"DirectedEdge[3122, 771]","DirectedEdge[771, 3122]","{77, 1}"
"DirectedEdge[4506, 1601]","DirectedEdge[1601, 4506]","{18, 22}"
"DirectedEdge[2476, 488]","DirectedEdge[488, 2476]","{37, 3}"
"DirectedEdge[3595, 488]","DirectedEdge[488, 3595]","{40, 2}"
"DirectedEdge[1050, 488]","DirectedEdge[488, 1050]","{39, 11}"
"DirectedEdge[3840, 2531]","DirectedEdge[2531, 3840]","{1, 33}"
"DirectedEdge[720, 531]","DirectedEdge[531, 720]","{17, 1}"
"DirectedEdge[2492, 2492]","DirectedEdge[2492, 2492]","{5, 5}"
"DirectedEdge[1440, 1276]","DirectedEdge[1276, 1440]","{1, 1}"
"DirectedEdge[494, 781]","DirectedEdge[781, 494]","{1, 2}"
"DirectedEdge[902, 438]","DirectedEdge[438, 902]","{81, 1}"
"DirectedEdge[8098, 2]","DirectedEdge[2, 8098]","{14, 2}"
"DirectedEdge[720, 4396]","DirectedEdge[4396, 720]","{25, 6}"
"DirectedEdge[952, 4396]","DirectedEdge[4396, 952]","{27, 2}"
"DirectedEdge[240, 683]","DirectedEdge[683, 240]","{17, 5}"
